tic_id,combined_confidence,period,depth,flag_reasons,tests_passed
219698950,0.5144,3.422417,0.000486,Transit shape prefers box over trapezoid (BIC diff=-8.944); Significant TTV amplitude (52.4 min) → multi-planet system candidate,5
233720539,0.303,2.298249,0.001273,Transit shape prefers box over trapezoid (BIC diff=-9.371); Significant TTV amplitude (77.4 min) → multi-planet system candidate,5
214243287,0.7375,5.756117,0.000174,Transit shape prefers box over trapezoid (BIC diff=-8.679); Significant TTV amplitude (74.52 min) → multi-planet system candidate,5
458857720,0.3048,1.440117,0.000793,Transit shape prefers box over trapezoid (BIC diff=-4.423); Significant TTV amplitude (112.97 min) → multi-planet system candidate,5
75878355,0.3024,8.306342,0.000287,Transit shape prefers box over trapezoid (BIC diff=-9.158); Significant TTV amplitude (77.26 min) → multi-planet system candidate,5
391903064,0.6271,24.069732,0.002087,Transit shape prefers box over trapezoid (BIC diff=1.3); Significant TTV amplitude (174.42 min) → multi-planet system candidate,5
442530946,0.593,3.71299,0.000241,Signal detected in only 1 TESS sector — may be 1-sector artefact; Transit shape prefers box over trapezoid (BIC diff=-8.571); Significant TTV amplitude (211.32 min) → multi-planet system candidate,4
144043410,0.3047,0.493043,0.004082,Signal detected in only 1 TESS sector — may be 1-sector artefact; Transit shape prefers box over trapezoid (BIC diff=-8.545); Significant TTV amplitude (114.78 min) → multi-planet system candidate,4
237808867,0.7498,0.567291,0.00064,Signal detected in only 1 TESS sector — may be 1-sector artefact; Transit shape prefers box over trapezoid (BIC diff=-9.25); Significant TTV amplitude (216.62 min) → multi-planet system candidate,4
